2014PN200196,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2014-10-22 15:35,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2014PN200197,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2014-10-22 15:40,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2014PN200203,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2014-10-23 12:13,WATER,VERTICAL INTEGRATED,3.1,,1.06,,0.04,,,,,,
2014PN200204,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 3 OF 10,AL07DD0007,57.31335,-111.6735,2014-10-23 12:37,WATER,VERTICAL INTEGRATED,2.8,,1.12,L,0.03,,,,,,
2014PN200205,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 7 OF 10,AL07DD0007,57.3138,-111.66997,2014-10-23 13:19,WATER,VERTICAL INTEGRATED,1.4,,1.03,L,0.03,,,,,,
2014PN200224,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2015-01-20 11:13,WATER,VERTICAL INTEGRATED,2.76,,0.57,L,0.03,,,,,,
2014PN200225,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 3 OF 10,AL07DD0007,57.31335,-111.6735,2015-01-20 11:48,WATER,VERTICAL INTEGRATED,2.52,,0.65,L,0.03,,,,,,
2014PN200226,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2015-01-20 12:17,WATER,VERTICAL INTEGRATED,0.39,,0.54,L,0.03,,,,,,
2014PN200227,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2015-01-21 10:27,WATER,TRIPLICATE SAMPLE,1.54,,0.53,L,0.03,,,,,,
2014PN200228,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2015-01-21 10:32,WATER,TRIPLICATE SAMPLE,,,0.48,L,0.03,,,,,,
2014PN200229,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2015-01-21 10:37,WATER,TRIPLICATE SAMPLE,,,0.5,L,0.03,,,,,,
2014PN200230,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2015-01-21 10:53,WATER,VERTICAL INTEGRATED,0.74,,0.53,L,0.03,,,,,,
2014PN200231,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2015-01-21 11:20,WATER,VERTICAL INTEGRATED,1.63,,0.61,,0.04,,,,,,
2014PN200237,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2015-01-27 11:20,WATER,VERTICAL INTEGRATED,2.87,,0.58,L,0.03,,,,,,
2014PN200238,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 8 OF 10,AL07DD0005,57.15705556,-111.6250278,2015-01-28 12:45,WATER,VERTICAL INTEGRATED,3.11,,0.57,L,0.03,,,,,,
2014PN200239,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2015-01-28 10:30,WATER,VERTICAL INTEGRATED,2.63,,0.61,L,0.03,,,,,,
2014PN200240,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2015-02-17 11:10,WATER,VERTICAL INTEGRATED,2.83,,0.56,L,0.03,,,,,,
2014PN200241,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 3 OF 10,AL07DD0007,57.31335,-111.6735,2015-02-17 12:45,WATER,VERTICAL INTEGRATED,2.59,,0.54,L,0.03,,,,,,
2014PN200242,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2015-02-17 13:20,WATER,VERTICAL INTEGRATED,0.21,,0.58,L,0.03,,,,,,
2014PN200243,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2015-02-18 10:35,WATER,VERTICAL INTEGRATED,1.83,,0.51,L,0.03,,,,,,
2014PN200244,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2015-02-18 11:10,WATER,VERTICAL INTEGRATED,0.81,,0.57,L,0.03,,,,,,
2014PN200245,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2015-02-18 12:05,WATER,VERTICAL INTEGRATED,1.73,,0.55,L,0.03,,,,,,
2014PN200246,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2015-03-10 9:50,WATER,VERTICAL INTEGRATED,1.73,,0.58,L,0.03,,,,,,
2014PN200247,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2015-03-11 9:55,WATER,TRIPLICATE SAMPLE,2.56,,0.59,L,0.03,,,,,,
2014PN200248,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2015-03-11 10:00,WATER,TRIPLICATE SAMPLE,,,0.57,L,0.03,,,,,,
2014PN200249,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2015-03-11 10:05,WATER,TRIPLICATE SAMPLE,,,0.59,L,0.03,,,,,,
2014PN200255,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2015-03-10 10:30,WATER,VERTICAL INTEGRATED,1.76,,0.6,L,0.03,,,,,,
2014PN200256,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 8 OF 10,AL07DD0005,57.15705556,-111.6250278,2015-03-11 11:55,WATER,VERTICAL INTEGRATED,3.25,,0.59,L,0.03,,,,,,
2014PN200257,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2015-03-12 11:38,WATER,VERTICAL INTEGRATED,2.57,,0.55,L,0.03,,,,,,
2014PN200258,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 3 OF 10,AL07DD0007,57.31335,-111.6735,2015-03-12 9:50,WATER,VERTICAL INTEGRATED,2.26,,0.55,,0.04,,,,,,
2015PN880001,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 4 OF 10,AL07DD0002,56.71977778,-111.4046667,2015-05-26 10:00,WATER,VERTICAL INTEGRATED,4.2,,3.66,,0.1,,,,,,
2015PN880002,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2015-05-27 9:15,WATER,VERTICAL INTEGRATED,2.3,,4.02,,0.12,,,,,,
2015PN880003,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2015-05-27 10:15,WATER,VERTICAL INTEGRATED,2.4,,3.44,,0.09,,,,,,
2015PN880004,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2015-05-28 10:15,WATER,VERTICAL INTEGRATED,4.5,,5.82,,0.14,,,,,,
2015PN880005,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2015-05-28 11:00,WATER,VERTICAL INTEGRATED,2.5,,6.19,,0.12,,,,,,
2015PN880006,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 4 OF 10,AL07DD0002,56.71977778,-111.4046667,2015-06-24 8:50,WATER,TRIPLICATE SAMPLE,4,,3.1,,0.05,,,,,,
2015PN880007,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 4 OF 10,AL07DD0002,56.71977778,-111.4046667,2015-06-24 8:55,WATER,TRIPLICATE SAMPLE,,,2.88,,0.06,,,,,,
2015PN880008,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 4 OF 10,AL07DD0002,56.71977778,-111.4046667,2015-06-24 9:00,WATER,TRIPLICATE SAMPLE,,,2.99,,0.06,,,,,,
2015PN880014,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2015-06-24 12:34,WATER,VERTICAL INTEGRATED,2.4,,2.88,,0.06,,,,,,
2015PN880015,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2015-06-24 13:30,WATER,VERTICAL INTEGRATED,2.4,,2.47,,0.04,,,,,,
2015PN880016,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2015-06-25 10:01,WATER,VERTICAL INTEGRATED,4.2,,3.57,,0.06,,,,,,
2015PN880017,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2015-06-25 11:22,WATER,VERTICAL INTEGRATED,2,,3.5,,0.06,,,,,,
2015PN880018,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 4 OF 10,AL07DD0002,56.71977778,-111.4046667,2015-07-21 10:30,WATER,VERTICAL INTEGRATED,3.9,,2.74,,0.05,,,,,,
2015PN880019,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2015-07-21 12:55,WATER,VERTICAL INTEGRATED,2.5,,2.64,,0.07,,,,,,
2015PN880020,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2015-07-21 14:15,WATER,VERTICAL INTEGRATED,2.3,,2.69,,0.08,,,,,,
2015PN880021,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2015-07-22 10:45,WATER,VERTICAL INTEGRATED,4.8,,2.81,,0.08,,,,,,
2015PN880022,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2015-07-22 11:30,WATER,VERTICAL INTEGRATED,1.5,,2.99,,0.07,,,,,,
2015PN880023,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 4 OF 10,AL07DD0002,56.71977778,-111.4046667,2015-08-18 9:27,WATER,VERTICAL INTEGRATED,3.7,,2.99,,0.06,,,,,,
2015PN880024,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2015-08-18 11:35,WATER,VERTICAL INTEGRATED,1.1,,1.91,,0.06,,,,,,
2015PN880025,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2015-08-18 12:25,WATER,VERTICAL INTEGRATED,2.1,,1.91,,0.09,,,,,,
2015PN880026,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2015-08-19 10:05,WATER,TRIPLICATE SAMPLE,2.8,,1.9,,0.07,,,,,,
2015PN880027,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2015-08-19 10:10,WATER,TRIPLICATE SAMPLE,,,1.87,,0.06,,,,,,
2015PN880028,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2015-08-19 10:15,WATER,TRIPLICATE SAMPLE,,,1.89,,0.07,,,,,,
2015PN880034,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 4 OF 10,AL07DD0005,57.15669444,-111.62825,2015-08-19 11:40,WATER,VERTICAL INTEGRATED,3.2,,2.78,,0.08,,,,,,
2015PN880035,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2015-08-20 9:55,WATER,VERTICAL INTEGRATED,4.8,,2.07,,0.09,,,,,,
2015PN880036,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2015-08-20 10:35,WATER,VERTICAL INTEGRATED,4.8,,1.94,,0.08,,,,,,
2015PN880037,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 3 OF 10,AL07DD0002,56.72008333,-111.405,2015-09-15 11:00,WATER,VERTICAL INTEGRATED,3.7,,1.22,,0.05,,,,,,
2015PN880038,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 4 OF 10,AL07DD0002,56.71977778,-111.4046667,2015-09-15 9:50,WATER,VERTICAL INTEGRATED,3.5,,1.19,,0.04,,,,,,
2015PN880039,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 2 OF 10,AL07DD0002,56.72038889,-111.4053611,2015-09-15 11:45,WATER,VERTICAL INTEGRATED,2.8,,1.18,,0.05,,,,,,
2015PN880040,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2015-09-15 13:30,WATER,VERTICAL INTEGRATED,0.7,,1.14,,0.04,,,,,,
2015PN880041,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2015-09-15 14:31,WATER,VERTICAL INTEGRATED,2.1,,1.1,L,0.03,,,,,,
2015PN880042,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2015-09-15 14:55,WATER,VERTICAL INTEGRATED,1.9,,1.03,,0.05,,,,,,
2015PN880043,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2015-09-16 10:00,WATER,VERTICAL INTEGRATED,2.4,,1.18,,0.04,,,,,,
2015PN880044,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 2 OF 10,AL07DD0004,57.12633333,-111.6036111,2015-09-16 11:15,WATER,VERTICAL INTEGRATED,1.9,,1.2,,0.08,,,,,,
2015PN880045,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2015-09-16 10:50,WATER,VERTICAL INTEGRATED,2.2,,1.59,,0.06,,,,,,
2015PN880046,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 6 OF 10,AL07DD0005,57.15683333,-111.6265278,2015-09-16 13:35,WATER,TRIPLICATE SAMPLE,1.6,,1.33,,0.06,,,,,,
2015PN880047,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 6 OF 10,AL07DD0005,57.15683333,-111.6265278,2015-09-16 13:40,WATER,TRIPLICATE SAMPLE,,,1.58,,0.04,,,,,,
2015PN880048,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 6 OF 10,AL07DD0005,57.15683333,-111.6265278,2015-09-16 13:45,WATER,TRIPLICATE SAMPLE,,,1.5,,0.05,,,,,,
2015PN880054,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 4 OF 10,AL07DD0005,57.15669444,-111.62825,2015-09-16 15:00,WATER,VERTICAL INTEGRATED,1.6,,1.2,,0.04,,,,,,
2015PN880055,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 7 OF 10,AL07DD0005,57.15669444,-111.62825,2015-09-16 15:25,WATER,VERTICAL INTEGRATED,1.4,,1.2,,0.05,,,,,,
2015PN880056,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2015-09-17 10:45,WATER,VERTICAL INTEGRATED,5.9,,1.25,,0.05,,,,,,
2015PN880057,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 2 OF 10,AL07DD0007,57.31337,-111.67458,2015-09-17 12:40,WATER,VERTICAL INTEGRATED,1.4,,1.42,,0.06,,,,,,
2015PN880058,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 3 OF 10,AL07DD0007,57.31335,-111.6735,2015-09-17 11:25,WATER,VERTICAL INTEGRATED,1.2,,1.2,,0.05,,,,,,
2015PN880059,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 4 OF 10,AL07DD0002,56.71977778,-111.4046667,2015-10-14 9:36,WATER,VERTICAL INTEGRATED,3.6,,1.13,L,0.03,,,,,,
2015PN880060,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2015-10-14 13:50,WATER,VERTICAL INTEGRATED,0.8,,0.85,L,0.03,,,,,,
2015PN880061,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2015-10-14 14:20,WATER,VERTICAL INTEGRATED,2.1,,0.7,,0.04,,,,,,
2015PN880062,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2015-10-15 11:00,WATER,VERTICAL INTEGRATED,4.9,,1.04,,0.04,,,,,,
2015PN880063,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2015-10-15 11:55,WATER,VERTICAL INTEGRATED,1.2,,0.91,,0.04,,,,,,
2015PN880064,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 4 OF 10,AL07DD0002,56.71977778,-111.4046667,2016-01-19 11:25,WATER,VERTICAL INTEGRATED,3.38,,0.71,L,0.03,,,,,,
2015PN880065,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2016-01-20 11:30,WATER,VERTICAL INTEGRATED,1.76,,0.47,L,0.03,,,,,,
2015PN880066,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2016-01-20 12:00,WATER,VERTICAL INTEGRATED,1.14,,0.49,L,0.03,,,,,,
2015PN880067,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2016-01-21 11:55,WATER,TRIPLICATE SAMPLE,5.3,,0.52,L,0.03,,,,,,
2015PN880068,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2016-01-21 12:00,WATER,TRIPLICATE SAMPLE,5.3,,0.51,L,0.03,,,,,,
2015PN880069,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2016-01-21 12:05,WATER,TRIPLICATE SAMPLE,5.3,,0.51,L,0.03,,,,,,
2015PN880070,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2016-01-21 13:05,WATER,VERTICAL INTEGRATED,1.06,,0.52,L,0.03,,,,,,
2015PN880076,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 2 OF 10,AL07DD0002,56.72038889,-111.4053611,2016-02-17 10:47,WATER,VERTICAL INTEGRATED,2.83,,0.73,,0.04,,,,,,
2015PN880077,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 4 OF 10,AL07DD0002,56.71977778,-111.4046667,2016-02-17 11:35,WATER,VERTICAL INTEGRATED,2.67,,1.83,,0.09,,,,,,
2015PN880078,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 7 OF 10,AL07DD0002,56.71897222,-111.4038333,2016-02-17 12:43,WATER,VERTICAL INTEGRATED,0.38,,0.41,,0.04,,,,,,
2015PN880079,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2016-02-16 14:40,WATER,VERTICAL INTEGRATED,0.7,,0.45,L,0.03,,,,,,
2015PN880080,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2016-02-16 15:05,WATER,VERTICAL INTEGRATED,0.62,,0.41,L,0.03,,,,,,
2015PN880081,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2016-02-16 15:30,WATER,VERTICAL INTEGRATED,1.45,,0.45,L,0.03,,,,,,
2015PN880082,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2016-02-16 11:45,WATER,VERTICAL INTEGRATED,5.4,,0.52,L,0.03,,,,,,
2015PN880083,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2016-02-16 12:30,WATER,VERTICAL INTEGRATED,0.95,,0.48,,0.04,,,,,,
2015PN880084,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 9 OF 10,AL07DD0007,57.3139,-111.66835,2016-02-16 12:55,WATER,VERTICAL INTEGRATED,0.66,,0.48,L,0.03,,,,,,
2015PN880085,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 4 OF 10,AL07DD0002,56.71977778,-111.4046667,2016-03-16 10:40,WATER,VERTICAL INTEGRATED,2.38,,0.88,L,0.03,,,,,,
2015PN880086,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2016-03-15 11:15,WATER,VERTICAL INTEGRATED,0.85,,0.44,L,0.03,,,,,,
2015PN880087,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2016-03-15 12:15,WATER,TRIPLICATE SAMPLE,1.57,,0.5,L,0.03,,,,,,
2015PN880088,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2016-03-15 12:20,WATER,TRIPLICATE SAMPLE,1.57,,0.47,L,0.03,,,,,,
2015PN880089,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2016-03-15 12:10,WATER,TRIPLICATE SAMPLE,1.57,,0.47,L,0.03,,,,,,
2015PN880095,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2016-03-15 15:15,WATER,VERTICAL INTEGRATED,5.54,,0.49,L,0.03,,,,,,
2015PN880096,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2016-03-15 14:35,WATER,VERTICAL INTEGRATED,0.5,,0.47,L,0.03,,,,,,
2016PN880003,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 1 OF 10,AL07DD0002,56.72061111,-111.4058056,2016-06-01 14:13,WATER,DISCRETE SAMPLE,0.78,,19.7,,0.81,,,,,,
2016PN880004,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 10 OF 10,AL07DD0002,56.71813889,-111.4028333,2016-06-01 15:30,WATER,DISCRETE SAMPLE,0.8,,15,,0.69,,,,,,
2016PN880005,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2016-06-01 10:00,WATER,DISCRETE SAMPLE,0.66,,7.47,,0.18,,,,,,
2016PN880006,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2016-06-01 13:00,WATER,DISCRETE SAMPLE,0.92,,20.6,,0.81,,,,,,
2016PN880021,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2016-06-28 10:20,WATER,TRIPLICATE SAMPLE,3.4,,7.91,,0.25,,,,,,
2016PN880022,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2016-06-28 10:25,WATER,TRIPLICATE SAMPLE,3.4,,7.54,,0.26,,,,,,
2016PN880023,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2016-06-28 10:30,WATER,TRIPLICATE SAMPLE,3.4,,7.91,,0.24,,,,,,
2016PN880024,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 5 OF 10,AL07DD0009,57.21505,-111.6115,2016-06-28 11:40,WATER,VERTICAL INTEGRATED,2.3,,8.11,,0.23,,,,,,
2016PN880025,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 10 OF 10,AL07DD0009,57.21518,-111.60727,2016-06-28 12:00,WATER,VERTICAL INTEGRATED,0.8,,6.97,,0.21,,,,,,
2016PN880031,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 1 OF 10,AL07DD0004,57.12622222,-111.6040278,2016-06-28 13:35,WATER,VERTICAL INTEGRATED,2.9,,8.38,,0.23,,,,,,
2016PN880032,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2016-06-28 14:00,WATER,VERTICAL INTEGRATED,1.7,,8.08,,0.24,,,,,,
2016PN880033,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2016-06-28 14:30,WATER,VERTICAL INTEGRATED,2.2,,7.54,,0.23,,,,,,
2016PN880034,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2016-06-29 10:30,WATER,VERTICAL INTEGRATED,1.9,,5.87,,0.19,,,,,,
2016PN880035,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2016-06-29 11:05,WATER,VERTICAL INTEGRATED,1.7,,6.33,,0.22,,,,,,
2016PN880036,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2016-06-29 11:25,WATER,VERTICAL INTEGRATED,2.8,,5.89,,0.18,,,,,,
2016PN880037,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 3 OF 10,AL07DD0002,56.72008333,-111.405,2016-06-21 15:15,WATER,VERTICAL INTEGRATED,5.35,,,,,,,,,,
2016PN880038,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2016-06-22 11:50,WATER,VERTICAL INTEGRATED,2.5,,,,,,,,,,
