2014PN200161,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2014-09-16 13:40,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,PM,,5.622,,0.209,,0.025,,,,,,,L,0.005,,5.17,,0.452,L,0.01,,0.032,,,,0.177,,0.031,,0.006,,12,,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200168,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 2 OF 10,AL07DD0004,57.12633333,-111.6036111,2014-09-30 12:25,WATER,TRIPLICATE SAMPLE,2.6,,0,,6.428,,0.241,,0.027,,,,,,,,0.005,,5.77,,0.658,,0.014,,0.063,,,,0.178,,0.032,,0.005,,17.6,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200169,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 2 OF 10,AL07DD0004,57.12633333,-111.6036111,2014-09-30 12:30,WATER,TRIPLICATE SAMPLE,,,PM,,6.356,,0.24,,0.026,,,,,,,,0.006,,5.7,,0.656,,0.016,,0.063,,,,0.177,,0.031,,0.005,,15.2,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200170,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 2 OF 10,AL07DD0004,57.12633333,-111.6036111,2014-09-30 12:35,WATER,TRIPLICATE SAMPLE,,,PM,,6.652,,0.308,,0.026,,,,,,,,0.006,,5.72,,0.932,,0.014,,0.122,,,,0.186,,0.031,,0.005,,14.8,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200171,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2014-09-30 14:55,WATER,VERTICAL INTEGRATED,2.9,,0,,7.036,,0.281,,0.032,,,,,,,L,0.005,,6.18,,0.856,L,0.01,,0.095,,,,0.186,,0.038,,0.006,,21.6,,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200172,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 8 OF 10,AL07DD0004,57.12733333,-111.6010556,2014-09-30 15:55,WATER,VERTICAL INTEGRATED,1.4,,0,,8.38,,0.332,,0.032,,,,,,,L,0.005,,6.76,,1.62,L,0.01,,0.132,,,,0.2,,0.037,,0.005,,14.8,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200173,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2014-09-30 16:30,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,PM,,7.067,,0.292,,0.032,,,,,,,,0.007,,6.26,,0.807,L,0.01,,0.098,,,,0.194,,0.037,,0.005,,18.8,,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200174,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2014-09-30 16:35,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,PM,,7.125,,0.294,,0.034,,,,,,,,0.006,,6.28,,0.845,L,0.01,,0.103,,,,0.191,,0.037,,0.003,,21.6,,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200175,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2014-09-30 16:40,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,PM,,7.113,,0.287,,0.04,,,,,,,,0.007,,6.29,,0.823,L,0.01,,0.1,,,,0.187,,0.046,,0.006,,20.4,,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200181,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2014-10-01 11:14,WATER,VERTICAL INTEGRATED,2.03,,0,,5.164,,0.189,,0.016,,,,,,,L,0.005,,4.86,,0.304,L,0.01,,0.045,,,,0.144,,0.019,,0.003,,13.6,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200182,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2014-10-01 12:19,WATER,VERTICAL INTEGRATED,1.31,,0,,5.929,,0.207,,0.019,,,,,,,,0.009,,5.47,,0.459,,0.011,,0.055,,,,0.152,,0.024,,0.005,,10.4,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200183,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2014-10-01 13:35,WATER,VERTICAL INTEGRATED,1.97,,0,,10.14,,0.408,,0.046,,,,,,,,0.005,,9.01,,1.13,L,0.01,,0.132,,,,0.276,,0.058,,0.012,,30,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200184,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2014-10-01 16:00,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,PM,,7.108,,0.242,,0.026,,,,,,,L,0.005,,6.41,,0.698,L,0.01,,0.053,,,,0.189,,0.032,,0.006,,10.8,,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200185,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2014-10-01 16:05,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,PM,,7.202,,0.242,,0.024,,,,,,,L,0.005,,6.34,,0.862,L,0.01,,0.048,,,,0.194,,0.03,,0.006,,10.8,,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200186,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2014-10-01 16:10,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,PM,,7.01,,0.243,,0.025,,,,,,,,0.005,,6.26,,0.75,L,0.01,,0.048,,,,0.195,,0.031,,0.006,,11.2,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200187,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2014-10-21 11:20,WATER,VERTICAL INTEGRATED,2,,0,,7.102,,0.246,,0.023,,,,,,,,0.017,,6.59,,0.512,,0.014,,0.032,,,,0.214,,0.03,,0.007,,10.8,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200188,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2014-10-21 12:08,WATER,VERTICAL INTEGRATED,2.9,,0,,7.768,,0.279,,0.022,,,,,,,,0.01,,7.21,,0.558,L,0.01,,0.063,,,,0.216,,0.03,,0.008,,10.8,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200189,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2014-10-21 13:14,WATER,VERTICAL INTEGRATED,3.5,,0,,7.817,,0.29,,0.025,,,,,,,,0.012,,7.17,,0.647,L,0.01,,0.076,,,,0.214,,0.032,,0.007,,10.4,,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200190,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2014-10-22 10:39,WATER,TRIPLICATE SAMPLE,2.9,,0,,9.292,,0.355,,0.022,,,,,,,,0.019,,8.79,,0.502,,0.014,,0.037,,,,0.318,,0.03,,0.008,,6.8,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200191,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2014-10-22 10:44,WATER,TRIPLICATE SAMPLE,,,PM,,9.269,,0.337,,0.02,,,,,,,,0.018,,8.74,,0.529,,0.014,,0.039,,,,0.298,,0.03,,0.01,,7.2,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200192,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2014-10-22 10:49,WATER,TRIPLICATE SAMPLE,,,PM,,9.272,,0.366,,0.023,,,,,,,,0.019,,8.79,,0.482,,0.014,,0.034,,,,0.332,,0.032,,0.009,,6.8,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200193,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 8 OF 10,AL07DD0009,57.2153,-111.60903,2014-10-22 13:49,WATER,VERTICAL INTEGRATED,1.35,,0,,7.72,,0.307,,0.025,,,,,,,,0.014,,7.18,,0.54,L,0.01,,0.045,,,,0.262,,0.032,,0.007,,6.8,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200194,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 9 OF 10,AL07DD0009,57.21523,-111.60808,2014-10-22 14:14,WATER,VERTICAL INTEGRATED,1.16,,0,,7.77,,0.308,,0.023,,,,,,,,0.015,,7.23,,0.54,L,0.01,,0.037,,,,0.271,,0.03,,0.007,,7.6,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200195,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2014-10-22 15:30,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,PM,,8.277,,0.363,,0.025,,,,,,,,0.019,,7.61,,0.667,,0.012,,0.065,,,,0.298,,0.032,,0.007,,9.6,,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200196,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2014-10-22 15:35,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,PM,,8.266,,0.339,,0.024,,,,,,,,0.02,,7.54,,0.726,,0.012,,0.052,,,,0.287,,0.031,,0.007,,8.4,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200197,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2014-10-22 15:40,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,PM,,8.212,,0.362,,0.024,,,,,,,,0.013,,7.58,,0.632,,0.011,,0.065,,,,0.297,,0.032,,0.008,,8.4,,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200203,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2014-10-23 12:13,WATER,VERTICAL INTEGRATED,3.1,,0,,8.362,,0.328,,0.022,,,,,,,,0.017,,7.9,,0.462,,0.018,,0.047,,,,0.281,,0.03,,0.008,,9.2,,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200204,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 3 OF 10,AL07DD0007,57.31335,-111.6735,2014-10-23 12:37,WATER,VERTICAL INTEGRATED,2.8,,0,,8.176,,0.329,,0.027,,,,,,,,0.014,,7.59,,0.586,,0.017,,0.06,,,,0.269,,0.035,,0.008,,12.8,,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200205,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 7 OF 10,AL07DD0007,57.3138,-111.66997,2014-10-23 13:19,WATER,VERTICAL INTEGRATED,1.4,,0,,7.66,,0.314,,0.019,,,,,,,,0.013,,7.14,,0.52,,0.012,,0.063,,,,0.251,,0.023,,0.004,,8,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200224,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2015-01-20 11:13,WATER,VERTICAL INTEGRATED,2.76,,0,,7.42,,0.548,,0.013,,,,,,,,0.074,,7.29,,0.13,,0.223,L,0.01,,,,0.543,,0.0312,,0.018,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200225,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 3 OF 10,AL07DD0007,57.31335,-111.6735,2015-01-20 11:48,WATER,VERTICAL INTEGRATED,2.52,,0,,7.23,,0.493,,0.014,,,,,,,,0.074,,7.09,,0.14,,0.205,L,0.01,,,,0.488,,0.0322,,0.018,L,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200226,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2015-01-20 12:17,WATER,VERTICAL INTEGRATED,0.39,,0,,7.286,,0.467,,0.016,,,,,,,,0.08,,7.15,,0.136,,0.198,L,0.01,,,,0.462,,0.0321,,0.016,L,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200227,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2015-01-21 10:27,WATER,TRIPLICATE SAMPLE,1.54,,0,,7.602,,0.523,,0.009,,,,,,,,0.059,,7.5,,0.102,,0.253,,0.011,,,,0.512,,0.0276,,0.019,L,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200228,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2015-01-21 10:32,WATER,TRIPLICATE SAMPLE,,,PM,,7.566,,0.53,,0.005,,,,,,,,0.06,,7.48,,0.086,,0.251,L,0.01,,,,0.525,,0.0264,,0.021,L,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200229,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2015-01-21 10:37,WATER,TRIPLICATE SAMPLE,,,PM,,7.789,,0.518,,0.008,,,,,,,,0.06,,7.51,,0.279,,0.256,,0.016,,,,0.502,,0.0275,,0.02,L,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200230,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2015-01-21 10:53,WATER,VERTICAL INTEGRATED,0.74,,0,,7.657,,0.43,,0.008,,,,,,,,0.06,,7.56,,0.097,,0.158,L,0.01,,,,0.425,,0.0266,,0.019,L,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200231,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2015-01-21 11:20,WATER,VERTICAL INTEGRATED,1.63,,0,,7.262,,0.492,,0.019,,,,,,,,0.084,,7.09,,0.172,,0.179,,0.021,,,,0.471,,0.0388,,0.02,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200237,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2015-01-27 11:20,WATER,VERTICAL INTEGRATED,2.87,,0,,6.934,,0.499,,0.016,,,,,,,,0.082,,6.81,,0.124,,0.206,,0.013,,,,0.486,,0.0352,,0.019,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200238,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 8 OF 10,AL07DD0005,57.15705556,-111.6250278,2015-01-28 12:45,WATER,VERTICAL INTEGRATED,3.11,,0,,7.037,,0.52,,0.015,,,,,,,,0.079,,6.84,,0.197,,0.202,,0.03,,,,0.49,,0.0354,,0.02,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
